target_image,pair_image,audio,stimulus_type,condition,sentence_template,target_onset,group,speaker,expt_practice,audio_duration
woman.jpg,slide.jpg,F_8_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2559
book.jpg,antlers.jpg,F_9_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2521
piano.jpg,razor.jpg,F_10_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2645
horse.jpg,iron.jpg,F_11_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2559
glass.jpg,zebra.jpg,F_12_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2772
boy.jpg,anvil.jpg,F_13_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2658
fire.jpg,binoculars.jpg,F_14_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2739
lips.jpg,safetypin.jpg,F_15_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2593
rock.jpg,recordplayer.jpg,F_16_HFF_N_sk.wav,filler,HFF,original,NA,groupA,native,NA,2636
highchair.jpg,table.jpg,T_1_LFF_B_N_sk.wav,target,LFF,1F,2174,groupB,native,NA,3573
sewingmachine.jpg,factory.jpg,T_2_LFF_B_N_sk.wav,target,LFF,2F,2106,groupB,native,NA,3174
wheelbarrow.jpg,stairs.jpg,T_3_LFF_B_N_sk.wav,target,LFF,3F,2121,groupB,native,NA,2876
igloo.jpg,rain.jpg,T_4_LFF_B_N_sk.wav,target,LFF,1F,2174,groupB,native,NA,2745
swing.jpg,wall.jpg,T_5_LFF_B_N_sk.wav,target,LFF,2F,2106,groupB,native,NA,3015
pineapple.jpg,bridge.jpg,T_6_LFF_B_N_sk.wav,target,LFF,3F,2121,groupB,native,NA,2910
typewriter.jpg,cigarette.jpg,T_7_LFF_B_N_sk.wav,target,LFF,1F,2174,groupB,native,NA,3348
vacuum.jpg,king.jpg,T_8_LFF_B_N_sk.wav,target,LFF,2F,2106,groupB,native,NA,3039
toothbrush.jpg,bench.jpg,T_1_LFD_B_N_sk.wav,target,LFD,1D,3505,groupB,native,NA,4529
blimp.jpg,shoe.jpg,T_2_LFD_B_N_sk.wav,target,LFD,2D,3562,groupB,native,NA,4558
globe.jpg,chair.jpg,T_3_LFD_B_N_sk.wav,target,LFD,3D,3638,groupB,native,NA,4305
funnel.jpg,star.jpg,T_4_LFD_B_N_sk.wav,target,LFD,1D,3505,groupB,native,NA,4090
unicorn.jpg,telephone.jpg,T_5_LFD_B_N_sk.wav,target,LFD,2D,3562,groupB,native,NA,4453
cactus.jpg,tooth.jpg,T_6_LFD_B_N_sk.wav,target,LFD,3D,3638,groupB,native,NA,4475
earring.jpg,ball.jpg,T_7_LFD_B_N_sk.wav,target,LFD,1D,3505,groupB,native,NA,4432
palmtree.jpg,flower.jpg,T_8_LFD_B_N_sk.wav,target,LFD,2D,3562,groupB,native,NA,4323
dog.jpg,hose.jpg,T_1_HFF_B_N_sk.wav,target,HFF,1F,2174,groupB,native,NA,2681
church.jpg,snail.jpg,T_2_HFF_B_N_sk.wav,target,HFF,2F,2106,groupB,native,NA,2750
nose.jpg,wateringcan.jpg,T_3_HFF_B_N_sk.wav,target,HFF,3F,2121,groupB,native,NA,2790
door.jpg,strawberry.jpg,T_4_HFF_B_N_sk.wav,target,HFF,1F,2174,groupB,native,NA,2822
fish.jpg,dolphin.jpg,T_5_HFF_B_N_sk.wav,target,HFF,2F,2106,groupB,native,NA,2758
hand.jpg,bat.jpg,T_6_HFF_B_N_sk.wav,target,HFF,3F,2121,groupB,native,NA,2633
eye.jpg,puzzle.jpg,T_7_HFF_B_N_sk.wav,target,HFF,2F,2106,groupB,native,NA,2632
tree.jpg,dinosaur.jpg,T_8_HFF_B_N_sk.wav,target,HFF,3F,2121,groupB,native,NA,2931
bottle.jpg,saw.jpg,T_1_HFD_B_N_sk.wav,target,HFD,1D,3505,groupB,native,NA,4030
sun.jpg,harp.jpg,T_2_HFD_B_N_sk.wav,target,HFD,2D,3562,groupB,native,NA,4263
moon.jpg,fan.jpg,T_3_HFD_B_N_sk.wav,target,HFD,3D,3638,groupB,native,NA,4350
car.jpg,alligator.jpg,T_4_HFD_B_N_sk.wav,target,HFD,1D,3505,groupB,native,NA,4059
baby.jpg,rhinoceros.jpg,T_5_HFD_B_N_sk.wav,target,HFD,2D,3562,groupB,native,NA,4401
bus.jpg,snowman.jpg,T_6_HFD_B_N_sk.wav,target,HFD,3D,3638,groupB,native,NA,4460
arm.jpg,ostrich.jpg,T_7_HFD_B_N_sk.wav,target,HFD,2D,3562,groupB,native,NA,4019
train.jpg,pumpkin.jpg,T_8_HFD_B_N_sk.wav,target,HFD,3D,3638,groupB,native,NA,4305
raccoon.jpg,smoke.jpg,F_1_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,304018
